Parameter,AASI
K_ALK,18.55404300700019
K_A_ALK,79.31216755765142
K_A_NH4,253.66617718156283
K_A_O2,93.18724221574455
K_NH4,1.631885931490163
K_NOX,74.90775330593362
K_O2,43.10827262746426
K_S,2043.6566801140195
K_STO,19.382271817618808
K_X,174.34844616562955
Y_A,76.2277521432437
Y_H_NOX,105.58256762499254
Y_H_O2,154.9139399631207
Y_STO_NOX,103.77872169768912
Y_STO_O2,179.3969861928585
b_A_NOX,19.415434356337364
b_A_O2,32.66111265572392
b_H_NOX,28.085589624967444
b_H_O2,48.68084396380901
b_STO_NOX,20.55256265476651
b_STO_O2,45.823623141491666
eta_NOX,91.26870414035844
f_S_I,0.22661360867700822
f_X_I,29.62334341105275
i_N_BM,33.35272640108515
i_N_S_I,1.8557763770919642
i_N_S_S,8.045580247488878
i_N_X_I,6.862564130975448
i_N_X_S,23.439637446083704
i_SS_BM,0.0
i_SS_X_I,0.0
i_SS_X_S,0.0
k_H,1350.4455243957061
k_STO,2085.038297118846
mu_A,231.83631908822042
mu_H,476.37461655709467
