Parameter,AASI
i_SS_BM,0.0
i_SS_X_I,0.0
i_SS_X_S,0.0
f_S_I,0.00010868558577084561
K_NH4,0.0007826647279069841
i_N_S_I,0.0008900442642498791
i_N_X_I,0.0032913372097089525
i_N_S_S,0.0038587206089242807
K_ALK,0.008898658136226367
K_STO,0.00929588288349508
b_A_NOX,0.009311787885702656
b_STO_NOX,0.009857163143318047
i_N_X_S,0.011241825859253107
b_H_NOX,0.01347005935755557
f_X_I,0.014207577602764884
b_A_O2,0.015664514508369365
i_N_BM,0.01599621764606085
K_O2,0.020675050759035106
b_STO_O2,0.02197735322406874
b_H_O2,0.02334769775263952
K_NOX,0.03592632011097489
Y_A,0.03655940145012059
K_A_ALK,0.03803871020846322
eta_NOX,0.04377315479839178
K_A_O2,0.04469330004370319
Y_STO_NOX,0.049773053013507214
Y_H_NOX,0.05063819104468679
Y_H_O2,0.07429788708302594
K_X,0.08361882196914476
Y_STO_O2,0.08604013961794053
mu_A,0.11119043684165283
K_A_NH4,0.12166020045391233
mu_H,0.22847283774852487
k_H,0.647683798547865
K_S,0.9801530662232878
k_STO,1.0
