Parameter,AASI
K_ALK,11.491688406118993
K_A_ALK,48.928824480839666
K_A_NH4,157.38896858038225
K_A_O2,61.5970756224198
K_NH4,1.3487148752877378
K_NOX,59.28195672977535
K_O2,30.822018061333164
K_S,875.4763202870031
K_STO,11.68776970638872
K_X,109.20886660634966
Y_A,77.67258358403366
Y_H_NOX,88.1322249744333
Y_H_O2,114.0614523005664
Y_STO_NOX,87.64088872658463
Y_STO_O2,114.11221009619719
b_A_NOX,13.345260608495153
b_A_O2,23.388831821385903
b_H_NOX,17.416032524938533
b_H_O2,40.87122877186481
b_STO_NOX,12.570958370821167
b_STO_O2,35.012377994968766
eta_NOX,50.420442776354015
f_S_I,0.1218662400172868
f_X_I,19.94836904279194
i_N_BM,33.639656877855465
i_N_S_I,0.46520701654917196
i_N_S_S,6.264049001638965
i_N_X_I,5.257667110644695
i_N_X_S,24.26802474155449
i_SS_BM,0.0
i_SS_X_I,0.0
i_SS_X_S,0.0
k_H,1127.2715109092617
k_STO,1174.4106655067776
mu_A,163.24285257083
mu_H,225.13338998068673
