Parameter,NAASI
i_SS_BM,0.0
i_SS_X_I,0.0
i_SS_X_S,0.0
f_S_I,0.0001037679949583049
i_N_S_I,0.00039611954336980364
K_NH4,0.0011484184492702517
i_N_X_I,0.004476855724378086
i_N_S_S,0.005333780751161626
K_ALK,0.009785068156853071
K_STO,0.009952029600604193
b_STO_NOX,0.010704056715456165
b_A_NOX,0.011363368028283746
b_H_NOX,0.014829593290029622
f_X_I,0.016985854802488435
b_A_O2,0.01991537756623935
i_N_X_S,0.02066400234119335
K_O2,0.026244668042105148
i_N_BM,0.02864386186695554
b_STO_O2,0.029812721412795028
b_H_O2,0.03480147956100875
K_A_ALK,0.041662449020527306
eta_NOX,0.04293254843236353
K_NOX,0.050478046965108415
K_A_O2,0.052449349645372685
Y_A,0.06613749846227483
Y_STO_NOX,0.07462541962590756
Y_H_NOX,0.07504378797207431
K_X,0.09299035662216523
Y_H_O2,0.09712228920481321
Y_STO_O2,0.09716550900613277
K_A_NH4,0.13401527523804146
mu_A,0.13899980421276914
mu_H,0.19169903390100596
K_S,0.7454601239586159
k_H,0.9598614386074443
k_STO,1.0
