,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
K_A_NH4,8.5277,1.1021,6.6199,10.5679,0.0727,0.0335,235.7225,514.2072,1.0301
K_NOX,1.6152,1.0228,0.0002,3.3559,0.0681,0.0297,188.2436,198.3421,1.0213
K_O2,46.2536,7.3059,33.7664,60.3144,0.4118,0.3067,340.1683,520.9207,1.0071
K_S,6.5328,2.415,2.2546,11.0367,0.0864,0.067,735.1611,560.8755,1.0052
K_X,1.1217,0.2262,0.694,1.5346,0.0088,0.0063,645.886,592.3911,1.0037
Y_A,0.1888,0.0405,0.12,0.2677,0.0021,0.001,359.8769,776.0239,1.0158
Y_H_NOX,0.9737,0.0761,0.8181,1.1077,0.0038,0.0022,408.1319,727.5254,1.0069
Y_H_O2,0.0098,0.0026,0.0058,0.0146,0.0002,0.0001,203.3931,258.7834,1.0112
Y_STO_NOX,0.9465,0.0523,0.861,1.0583,0.0025,0.0017,423.616,680.776,1.0062
Y_STO_O2,3.6028,1.7896,0.33,6.7749,0.1115,0.0571,279.6196,532.2016,1.026
b_H_O2,0.251,0.0722,0.1157,0.3848,0.0023,0.0019,963.9133,692.5418,1.0025
b_STO_O2,0.2483,0.0697,0.1303,0.4003,0.0031,0.0032,548.3879,305.7898,1.0043
eta_NOX,7.2089,1.0979,5.3517,9.0742,0.0703,0.032,208.2863,200.3769,1.0203
k_H,7.9034,1.5524,4.8602,10.6292,0.0645,0.046,542.1848,456.4879,1.0071
k_STO,11.0986,6.3782,1.7128,22.9607,0.2748,0.2604,672.3893,544.845,1.0025
mu_A,3.9366,0.6677,2.6236,5.1474,0.0296,0.0194,512.0102,601.3649,1.007
mu_H,3.1853,0.6338,2.0539,4.3816,0.0245,0.0188,618.4812,442.6883,1.0105
sigma_Alkalinity,0.126,0.013,0.1028,0.1509,0.0004,0.0004,896.2149,1020.8325,1.0022
sigma_COD,1.3981,0.1366,1.1805,1.6752,0.0052,0.0057,716.3032,708.5723,1.0023
sigma_NH4,0.1286,0.0135,0.107,0.1571,0.0005,0.0005,746.0647,457.5482,1.0087
sigma_NOx,0.4514,0.0465,0.3612,0.5323,0.0016,0.0012,850.6964,881.0172,1.0116
sigma_TKN,5.8331,0.3979,5.0842,6.5613,0.0118,0.0106,1153.2507,1124.9458,1.0015
sigma_TSS,4.045,0.3255,3.428,4.6233,0.0119,0.0087,720.6052,357.1565,1.0025
z[0],1.6298,0.6847,0.2338,2.7469,0.0364,0.0235,364.6784,529.7141,1.0117
z[1],0.6376,0.5528,-0.4121,1.6448,0.0342,0.0203,270.6567,291.2917,1.0141
z[2],-0.0578,0.6713,-1.2924,1.1912,0.0333,0.0185,421.6936,570.6689,1.0246
z[3],0.4508,0.4634,-0.4172,1.3122,0.0328,0.0122,204.2711,695.4733,1.0287
z[4],4.361,0.504,3.4493,5.2958,0.0246,0.0147,417.5798,590.7508,1.0071
