Parameter,AASI
i_SS_BM,0.0
i_SS_X_I,0.0
i_SS_X_S,0.0
f_S_I,11.627439652319
i_N_S_I,108.8465305351219
K_NH4,115.35622878232097
i_N_S_S,385.8821986905031
i_N_X_I,452.1722396077902
K_ALK,1066.5191744163901
K_STO,1075.8674444405174
b_A_NOX,1294.1999061357767
b_STO_NOX,1498.6144876188062
b_H_NOX,1539.781664094615
i_N_X_S,1613.4621816713131
i_N_BM,2148.5810500501357
f_X_I,2168.062022837781
b_A_O2,2368.4166857728746
K_O2,2414.7897084346528
b_STO_O2,3039.443621818863
b_H_O2,3720.227967823551
eta_NOX,5178.000497850075
K_NOX,5204.78698310013
K_A_ALK,5205.2649364194785
K_A_O2,5281.068007027097
Y_A,5873.0161046773555
Y_H_NOX,6692.710484937733
Y_STO_NOX,7234.253208142207
Y_STO_O2,9720.268264200316
K_X,10260.132279333422
Y_H_O2,10534.56807733153
K_A_NH4,14135.312617558786
mu_A,15184.346529677621
mu_H,29798.63544313756
k_H,90776.69916887538
K_S,104306.54352948282
k_STO,117484.29947490734
