Parameter,AASI
K_ALK,1066.5191744163901
K_A_ALK,5205.2649364194785
K_A_NH4,14135.312617558786
K_A_O2,5281.068007027097
K_NH4,115.35622878232097
K_NOX,5204.78698310013
K_O2,2414.7897084346528
K_S,104306.54352948282
K_STO,1075.8674444405174
K_X,10260.132279333422
Y_A,5873.0161046773555
Y_H_NOX,6692.710484937733
Y_H_O2,10534.56807733153
Y_STO_NOX,7234.253208142207
Y_STO_O2,9720.268264200316
b_A_NOX,1294.1999061357767
b_A_O2,2368.4166857728746
b_H_NOX,1539.781664094615
b_H_O2,3720.227967823551
b_STO_NOX,1498.6144876188062
b_STO_O2,3039.443621818863
eta_NOX,5178.000497850075
f_S_I,11.627439652319
f_X_I,2168.062022837781
i_N_BM,2148.5810500501357
i_N_S_I,108.8465305351219
i_N_S_S,385.8821986905031
i_N_X_I,452.1722396077902
i_N_X_S,1613.4621816713131
i_SS_BM,0.0
i_SS_X_I,0.0
i_SS_X_S,0.0
k_H,90776.69916887538
k_STO,117484.29947490734
mu_A,15184.346529677621
mu_H,29798.63544313756
