Parameter,NAASI
i_SS_BM,0.0
i_SS_X_I,0.0
i_SS_X_S,0.0
f_S_I,9.897015775118466e-05
i_N_S_I,0.0009264772486332923
K_NH4,0.0009818863396888118
i_N_S_S,0.003284542704133168
i_N_X_I,0.003848788660516859
K_ALK,0.009077971943341931
K_STO,0.009157542320540495
b_A_NOX,0.011015939252480251
b_STO_NOX,0.012755870310473996
b_H_NOX,0.013106276080945492
i_N_X_S,0.013733428116630354
i_N_BM,0.018288239872503442
f_X_I,0.01845405754239393
b_A_O2,0.020159431484534054
K_O2,0.02055414824982985
b_STO_O2,0.0258710622219613
b_H_O2,0.03166574584392129
eta_NOX,0.04407397857409882
K_NOX,0.044301979127106976
K_A_ALK,0.04430604735853436
K_A_O2,0.04495126608943218
Y_A,0.04998979549545454
Y_H_NOX,0.05696685016509106
Y_STO_NOX,0.061576340332074084
Y_STO_O2,0.08273674276175431
K_X,0.08733194414224527
Y_H_O2,0.08966788008623686
K_A_NH4,0.12031660980008524
mu_A,0.1292457511134987
mu_H,0.2536392996878876
k_H,0.7726708979378453
K_S,0.8878338977691307
k_STO,1.0
