sigma_COD,sigma_NH4,sigma_NOx,sigma_TKN,sigma_Alkalinity,sigma_TSS
7.470966262748169,1.0672202280592265,2.7964394160720616,1.6686831344295883,0.8043684644073122,8.618470816431895
7.42472536926438,1.0441790929635344,2.8363618958231807,1.7043192128183169,0.8121685061126757,8.538488163823201
7.465293251264807,1.0397347614292511,2.838642735668051,1.7272129740733189,0.8204805356119421,8.702775858934109
7.296315737089405,1.0810987926043247,2.777330803587996,1.676092537808762,0.8288283538125555,8.73737968044895
7.517599440212113,1.0823468153873221,2.806551441432392,1.684259849240261,0.8237583006949319,8.372821308134224
7.526963909929255,1.0588227984997283,2.806560147525517,1.6683756657140585,0.7764212566071006,8.761006713172986
7.414623238815416,1.0359643578945683,2.772157529496286,1.6510559479406566,0.8182806933975878,8.58488530025637
7.536073455833395,1.045632001561057,2.8547697412309687,1.696804603861024,0.7734931685695817,8.710174371477423
7.3298507035505445,1.0712713052859246,2.8475683130621547,1.695180414408282,0.8248150590011278,8.457931947977102
7.269998792121433,1.0488096110446934,2.768091350193992,1.6399046107620345,0.8216894428884542,8.389162416777504
7.533382869654585,1.0584538196618047,2.8584188818532215,1.661115140528844,0.7977219830870077,8.496928808241268
7.418687230717411,1.0683935753739067,2.6953441995895715,1.702887590186036,0.8034226042067353,8.556461828802687
7.480731061244357,1.0716971790181087,2.760450530031329,1.6785487332403366,0.799305935612142,8.46078585210854
7.419811350646539,1.0716334388494484,2.7736175960401876,1.6725781071919203,0.7782467797325792,8.604534189084566
7.350590310878942,1.0678562347492297,2.884436033365235,1.6429032468906484,0.8069065998374584,8.311156301027134
7.699246517760019,1.0529764512788418,2.8538235196362263,1.6331599575777365,0.7921601442215078,8.975224467210326
7.263246492700867,1.067021251604465,2.820959102138317,1.6838020890756553,0.7733666270492177,8.611488614008376
7.470496757472707,1.057614406203222,2.9146905934922906,1.65876842354217,0.7804209816474147,8.602363298975481
7.54668300498506,1.0614025746272377,2.7912624582237764,1.6531966879397193,0.7954174043861091,8.74970449546264
7.4517703462517355,1.0475112733107066,2.796284706251393,1.6584595521900027,0.8095720073151017,8.481977150264692
7.908920007644412,1.0560249248761553,2.8582746122170475,1.668727666011474,0.7976294527541047,8.447485643420196
7.219869007507252,1.0382725394174896,2.8417931199366193,1.6789183452768297,0.7898129320707645,8.605859356835293
7.604487132918304,1.0940635411812982,2.837568533392095,1.6746429047440266,0.7663183100308453,8.636233143191374
7.6833360770372945,1.0460510266615672,2.7402743917812864,1.681218530064866,0.8193150314037485,8.701452534756287
7.5236795606274764,1.0576704425356327,2.7780222391379525,1.6928371224689311,0.7972458280025442,8.78821804175103
