,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
K_ALK,0.1,0.0094,0.0828,0.1171,0.0002,0.0002,3846.9756,1400.117,0.9999
K_A_ALK,0.5014,0.0102,0.4826,0.5195,0.0002,0.0003,3897.8009,1327.8751,1.0011
K_A_NH4,1.4048,0.0099,1.3865,1.4234,0.0001,0.0003,4390.1424,1346.1303,0.9995
K_A_O2,0.5015,0.0097,0.4833,0.5204,0.0001,0.0003,4199.8739,1214.5498,1.0016
K_NH4,0.0122,0.0077,0.0,0.0253,0.0002,0.0002,1127.1675,559.7095,1.0022
K_NOX,0.5003,0.0103,0.4804,0.519,0.0002,0.0003,4016.5281,1406.1915,1.0019
K_O2,0.1934,0.0066,0.1815,0.2065,0.0001,0.0001,2869.921,1423.2733,1.0043
K_S,9.9998,0.0097,9.9813,10.0182,0.0002,0.0003,3768.0408,1513.1057,1.0049
K_STO,0.093,0.0088,0.0752,0.108,0.0002,0.0002,3419.9915,1602.2028,0.9993
K_X,0.9996,0.0103,0.9818,1.0198,0.0002,0.0003,3667.8276,1365.0974,1.0026
Y_A,0.2705,0.0058,0.2599,0.2814,0.0001,0.0001,2085.115,1357.6251,1.0014
Y_H_NOX,0.6526,0.009,0.6354,0.6688,0.0002,0.0002,3568.2755,1377.4089,1.0047
Y_H_O2,0.799,0.0073,0.7859,0.8131,0.0002,0.0002,1674.4402,1479.1037,1.0008
Y_STO_NOX,0.7005,0.0097,0.6831,0.7197,0.0002,0.0003,3529.4098,1371.5451,1.0
Y_STO_O2,0.7954,0.0072,0.7817,0.8091,0.0002,0.0002,2028.0533,1549.2384,1.0005
b_A_NOX,0.0938,0.009,0.0779,0.111,0.0002,0.0002,2658.8589,1468.317,1.0072
b_A_O2,0.2003,0.0099,0.1816,0.218,0.0002,0.0003,3106.8882,1373.5606,1.0003
b_H_NOX,0.1459,0.0093,0.1283,0.1626,0.0002,0.0002,2938.6414,1673.0047,1.0013
b_H_O2,0.2989,0.0078,0.2847,0.314,0.0002,0.0002,2671.9101,1348.1652,0.9998
b_STO_NOX,0.15,0.0096,0.131,0.1669,0.0001,0.0002,4170.4929,1464.0885,1.0022
b_STO_O2,0.3,0.0098,0.2821,0.3187,0.0002,0.0002,4164.2257,1213.4177,1.0062
eta_NOX,0.4988,0.0102,0.4797,0.5181,0.0002,0.0003,3100.4472,1362.8677,1.0017
f_S_I,0.0022,0.0018,0.0,0.0054,0.0,0.0,1938.1421,1234.5711,1.0003
f_X_I,0.1977,0.0095,0.1816,0.2167,0.0002,0.0002,3520.1143,1399.1228,1.002
i_N_BM,0.0881,0.0067,0.076,0.1006,0.0002,0.0001,1436.7395,1341.2788,1.001
i_N_S_I,0.013,0.0078,0.0,0.0267,0.0002,0.0002,1720.9115,980.6117,1.0013
i_N_S_S,0.0078,0.0049,0.0,0.0163,0.0001,0.0001,1330.3297,904.7076,1.0031
i_N_X_I,0.0404,0.0097,0.0212,0.0575,0.0002,0.0003,2959.8501,1070.7226,1.0003
i_N_X_S,0.0463,0.0037,0.0393,0.0527,0.0001,0.0001,1561.6468,1464.7497,1.0006
k_H,8.9999,0.0097,8.9818,9.0178,0.0002,0.0002,3636.2974,1628.4536,1.0016
k_STO,12.0,0.0103,11.9807,12.019,0.0002,0.0003,4048.2083,1374.8108,1.0005
mu_A,1.2968,0.009,1.2803,1.3142,0.0002,0.0002,2587.7583,1610.7355,1.0016
mu_H,3.0004,0.0101,2.9824,3.0199,0.0002,0.0003,3892.0189,1465.8041,1.0019
sigma_Alkalinity,0.8022,0.0148,0.7736,0.8307,0.0002,0.0004,3949.0349,1383.3144,1.0017
sigma_COD,7.4148,0.1369,7.1883,7.6857,0.0019,0.003,5129.4439,1738.1608,1.0046
sigma_NH4,1.065,0.0204,1.0262,1.1008,0.0003,0.0005,3677.3097,1584.7938,1.002
sigma_NOx,2.8446,0.053,2.7444,2.9407,0.0008,0.0012,4119.6957,1531.9859,1.0005
sigma_TKN,1.6873,0.0303,1.6341,1.7453,0.0005,0.0007,4105.1981,1540.6244,1.0059
sigma_TSS,8.608,0.152,8.3239,8.9048,0.0023,0.0038,4207.2441,1431.7667,1.003
