Parameter,AASI
i_SS_BM,0.0
i_SS_X_I,0.0
i_SS_X_S,0.0
f_S_I,0.00011491502250673796
i_N_S_I,0.0007817922582294377
K_NH4,0.0008979720103138372
i_N_X_I,0.003626165902858737
i_N_S_S,0.004463445075382647
K_ALK,0.007916350944257258
K_STO,0.00851696553810328
b_A_NOX,0.010628811139957905
b_STO_NOX,0.01158710101004903
b_H_NOX,0.01349666996585721
f_X_I,0.01725003459198588
b_A_O2,0.017773400545395054
i_N_X_S,0.019470473977185862
b_STO_O2,0.02100717919453959
K_O2,0.0228888658395436
i_N_BM,0.02749979052477948
b_H_O2,0.03368880045307963
K_NOX,0.0363757690532792
K_A_ALK,0.03914134567850754
eta_NOX,0.04142785263216814
K_A_O2,0.042959554089541045
Y_A,0.05199918801626674
Y_H_NOX,0.06015414533538216
Y_STO_NOX,0.061245872712065524
K_X,0.08282688929785367
Y_H_O2,0.09826673980585482
Y_STO_O2,0.104659983275897
mu_A,0.12033661870358378
K_A_NH4,0.12408483286787929
mu_H,0.26415688492024736
k_H,0.7179921765563368
K_S,0.7955719331381188
k_STO,1.0
