Parameter,AASI
i_SS_BM,0.0
i_SS_X_I,0.0
i_SS_X_S,0.0
f_S_I,0.4399114596606478
i_N_S_I,3.574782561286314
K_NH4,4.107325925684175
i_N_S_S,15.197825541097473
i_N_X_I,15.5533999333306
K_STO,32.0355251565617
K_ALK,32.56891037808339
i_N_X_S,37.72280819729087
b_A_NOX,43.32061061451378
b_H_NOX,50.961297007662594
b_STO_NOX,54.57723635744043
i_N_BM,54.794967292171854
f_X_I,69.14548903318736
K_O2,74.76916991476406
b_A_O2,80.94606801063306
b_STO_O2,101.46040786640867
b_H_O2,121.75911132002149
K_NOX,168.39544112607183
Y_A,171.75192323242393
K_A_ALK,177.47231663956828
eta_NOX,183.00070909702026
Y_H_NOX,193.42401365403612
K_A_O2,209.21928562582423
Y_STO_NOX,237.9439641651723
Y_H_O2,319.13959382995654
Y_STO_O2,367.52098325743685
K_X,375.184411584242
mu_A,478.5900487140261
K_A_NH4,537.0407758625684
mu_H,1097.4480948387322
k_H,2522.4264783149433
K_S,3966.64094313185
k_STO,4191.343993125672
