Parameter,AASI
i_SS_BM,0.0
i_SS_X_I,0.0
i_SS_X_S,0.0
f_S_I,0.00010495713555894187
i_N_S_I,0.0008528964855066549
K_NH4,0.0009799543851377274
i_N_S_S,0.0036260029160154372
i_N_X_I,0.0037108383274768474
K_STO,0.007643258393752449
K_ALK,0.007770517149511105
i_N_X_S,0.009000169935743998
b_A_NOX,0.010335732568256149
b_H_NOX,0.012158700667672587
b_STO_NOX,0.013021416626016361
i_N_BM,0.013073364386708048
f_X_I,0.01649721166923894
K_O2,0.017838948565757153
b_A_O2,0.01931267587279754
b_STO_O2,0.024207129749506704
b_H_O2,0.029050135593671544
K_NOX,0.040176955506935584
Y_A,0.04097776835165965
K_A_ALK,0.042342579595147777
eta_NOX,0.04366158191672273
Y_H_NOX,0.04614844641033418
K_A_O2,0.049916992250927154
Y_STO_NOX,0.056770325832341643
Y_H_O2,0.07614254386024755
Y_STO_O2,0.08768571223459998
K_X,0.08951410626271462
mu_A,0.11418534233863259
K_A_NH4,0.12813092333709244
mu_H,0.2618367990407574
k_H,0.6018180522648674
K_S,0.9463887835590772
k_STO,1.0
