,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
K_A_ALK,0.4825,0.2476,0.0025,0.8888,0.0077,0.0069,993.3759,745.106,1.0012
K_A_NH4,1.6686,0.8501,0.5251,3.3761,0.0811,0.069,166.4721,149.3137,1.0294
K_A_O2,2.5573,1.0792,0.2207,4.4127,0.0971,0.0521,120.1332,126.412,1.0307
K_NOX,3.1276,2.4719,0.019,7.6714,0.2101,0.1287,142.4771,311.3747,1.0162
K_S,19.4578,7.4493,5.6203,33.4919,0.6174,0.312,148.8276,231.6155,1.0315
K_X,0.3395,0.2224,0.0,0.7318,0.0111,0.0051,327.6553,218.4496,1.0097
Y_A,0.4564,0.1711,0.1533,0.7289,0.0157,0.0063,108.8744,283.2316,1.0262
Y_H_NOX,2.6325,0.1727,2.3456,2.924,0.0159,0.0064,113.2137,372.2834,1.0244
Y_H_O2,0.6181,0.095,0.4411,0.7943,0.0064,0.004,212.2656,281.8802,1.0181
Y_STO_NOX,0.5177,0.0318,0.459,0.5755,0.0029,0.0012,115.2739,329.7725,1.0327
Y_STO_O2,0.7964,0.178,0.4689,1.1449,0.0121,0.0087,215.8477,262.4621,1.0164
eta_NOX,4.8247,1.0188,2.7109,6.5768,0.0819,0.047,157.6761,199.4122,1.0328
k_H,11.3159,2.5162,6.7417,15.726,0.1304,0.0794,372.1647,472.7919,1.0101
k_STO,30.0672,7.3784,16.5367,43.8739,0.6011,0.3324,151.4052,189.2814,1.035
mu_A,3.2692,0.5411,2.2642,4.346,0.0476,0.0288,127.5481,167.9534,1.0178
mu_H,5.1291,0.5203,4.1175,6.0473,0.0295,0.0185,311.8484,284.3983,1.0133
sigma_Alkalinity,0.5846,0.0599,0.4834,0.703,0.0032,0.0025,356.3986,503.6822,1.0093
sigma_COD,3.537,0.3063,3.0083,4.1551,0.0161,0.0116,365.9019,388.9814,1.0034
sigma_NH4,0.1456,0.0159,0.1154,0.1748,0.0011,0.0007,230.1533,254.575,1.021
sigma_NOx,1.6856,0.1731,1.3741,2.0182,0.0084,0.006,427.4344,542.1988,1.011
sigma_TKN,0.8958,0.1011,0.7273,1.0967,0.0057,0.0048,339.2404,348.1452,1.0106
sigma_TSS,5.0002,0.381,4.2749,5.7398,0.021,0.0152,327.1052,408.2601,1.0109
z[0],-0.3648,0.575,-1.4756,0.6701,0.0465,0.027,153.2838,230.1779,1.0323
z[1],3.1934,0.6012,2.1863,4.4208,0.051,0.0245,141.1806,319.637,1.0218
z[2],-1.4502,0.3095,-2.0339,-0.8688,0.0313,0.0269,115.0337,91.5073,1.0254
z[3],2.7121,0.4488,1.8989,3.6002,0.0323,0.0291,207.2975,226.7698,1.0228
z[4],0.5004,0.485,-0.3512,1.4289,0.0426,0.024,122.8028,173.081,1.0309
z[5],-2.0746,0.4204,-2.867,-1.2065,0.0394,0.0217,107.8139,106.2635,1.0355
